ds,y
2012-01-01,15916194.219999995
2012-02-01,18116104.070000015
2012-03-01,18139545.75000001
2012-04-01,20004896.970000047
2012-05-01,22193521.24000006
2012-06-01,21858903.06999997
2012-07-01,20697363.78000005
2012-08-01,21531282.84000005
2012-09-01,18188453.15000003
2012-10-01,32713953.929999936
2012-11-01,19778514.92000003
2012-12-01,26064579.629999988
2013-01-01,17838850.12
2013-02-01,18258605.70000001
2013-03-01,18221543.539999995
2013-04-01,22162040.690000035
2013-05-01,22409324.580000013
2013-06-01,19734621.09999999
2013-07-01,22637646.590000007
2013-08-01,21552819.630000018
2013-09-01,19126692.819999993
2013-10-01,32145811.439999856
2013-11-01,17800949.639999993
2013-12-01,26214886.969999988
2014-01-01,20045932.62000003
2014-02-01,19183282.260000005
2014-03-01,19328906.109999985
2014-04-01,22639172.30000001
2014-05-01,20966264.200000044
2014-06-01,24429677.969999976
2014-07-01,21947352.740000017
2014-08-01,21170887.080000095
2014-09-01,23435552.560000136
2014-10-01,26542408.090000078
2014-11-01,20272759.740000043
2014-12-01,30625542.420000076
2015-01-01,18498508.310000062
2015-02-01,21224352.410000056
2015-03-01,23262369.710000128
2015-04-01,22857263.3300001
2015-05-01,22437370.96000014
2015-06-01,27089683.130000114
2015-07-01,22414165.500000134
2015-08-01,22116397.550000127
2015-09-01,24113360.17000012
2015-10-01,25913248.070000086
2015-11-01,23718715.060000125
2015-12-01,30683137.910000086
2016-01-01,19018055.360000074
2016-02-01,22801842.480000027
2016-03-01,23706446.34000016
2016-04-01,22667024.610000096
2016-05-01,25819176.16000013
2016-06-01,27338669.990000177
2016-07-01,21988265.620000124
2016-08-01,24471458.97000014
2016-09-01,25318593.87000007
2016-10-01,27311209.92000004
2016-11-01,26432734.840000093
2016-12-01,32574086.69000008
2017-01-01,20068372.860000063
2017-02-01,23086289.250000067
2017-03-01,25019491.260000095
2017-04-01,23176630.270000078
2017-05-01,28227485.87000007
2017-06-01,28626061.960000105
2017-07-01,25200614.710000124
2017-08-01,27647610.170000125
2017-09-01,24463707.55000009
2017-10-01,30779422.10000006
2017-11-01,26848928.020000115
2017-12-01,31385430.79000008
2018-01-01,22606806.940000087
2018-02-01,22861176.42000007
2018-03-01,24873041.230000082
2018-04-01,26214746.690000102
2018-05-01,30180818.39000008
2018-06-01,28574027.26000013
2018-07-01,26194368.030000128
2018-08-01,30507640.510000106
2018-09-01,23804290.690000065
2018-10-01,34609253.41000007
2018-11-01,28764343.450000096
2018-12-01,35026330.05000008
2019-01-01,23466782.590000056
2019-02-01,24641910.490000032
2019-03-01,24982728.36000006
2019-04-01,27788607.850000113
2019-05-01,32756773.27000012
2019-06-01,28877030.960000135
2019-07-01,30967399.690000124
2019-08-01,28424263.29000012
2019-09-01,28078111.23000005
2019-10-01,34448213.35000008
2019-11-01,30270164.510000065
2019-12-01,34518356.04000009
2020-01-01,24794498.260000058
2020-02-01,25720303.90000002
2020-03-01,31210733.11000006
2020-04-01,31987264.68000007
2020-05-01,32081114.180000123
