DATE,APU00007471A,TOTALNSA
1978-01-01,0.631,931.3
1978-02-01,0.629,1071.4
1978-03-01,0.629,1480.6
1978-04-01,0.631,1406.5
1978-05-01,0.637,1557.6
1978-06-01,0.645,1549.4
1978-07-01,0.655,1289.2
1978-08-01,0.663,1317.1
1978-09-01,0.669,1103.5
1978-10-01,0.671,1397.0
1978-11-01,0.676,1248.7
1978-12-01,0.685,1068.5
1979-01-01,0.695,1077.5
1979-02-01,0.707,1148.7
1979-03-01,0.733,1483.8
1979-04-01,0.78,1304.6
1979-05-01,0.823,1373.0
1979-06-01,0.88,1183.8
1979-07-01,0.93,1164.4
1979-08-01,0.967,1207.2
1979-09-01,0.998,1029.6
1979-10-01,1.006,1197.6
1979-11-01,1.019,1018.6
1979-12-01,1.042,959.7
1980-01-01,1.11,1042.0
1980-02-01,1.186,1038.7
1980-03-01,1.23,1141.9
1980-04-01,1.242,946.6
1980-05-01,1.244,893.8
1980-06-01,1.246,932.7
1980-07-01,1.247,1006.6
1980-08-01,1.243,884.2
1980-09-01,1.231,847.4
1980-10-01,1.223,1043.4
1980-11-01,1.222,870.5
1980-12-01,1.231,821.4
1981-01-01,1.269,814.3
1981-02-01,1.353,949.2
1981-03-01,1.388,1178.8
1981-04-01,1.381,962.9
1981-05-01,1.37,933.1
1981-06-01,1.362,942.7
1981-07-01,1.353,896.9
1981-08-01,1.348,1009.0
1981-09-01,1.358,864.8
1981-10-01,1.353,822.0
1981-11-01,1.351,743.0
1981-12-01,1.348,673.2
1982-01-01,1.341,714.4
1982-02-01,1.318,840.5
1982-03-01,1.268,1057.3
1982-04-01,1.21,877.2
1982-05-01,1.224,1020.2
1982-06-01,1.296,868.4
1982-07-01,1.318,827.4
1982-08-01,1.31,794.0
1982-09-01,1.292,891.1
1982-10-01,1.28,840.9
1982-11-01,1.268,971.5
1982-12-01,1.244,839.3
1983-01-01,1.214,789.3
1983-02-01,1.17,821.6
1983-03-01,1.135,1102.0
1983-04-01,1.198,1012.3
1983-05-01,1.243,1109.9
