ds,t-29,h-29,t-28,h-28,t-27,h-27,t-26,h-26,t-25,h-25,t-24,h-24,t-23,h-23,t-22,h-22,t-21,h-21,t-20,h-20,t-19,h-19,t-18,h-18,t-17,h-17,t-16,h-16,t-15,h-15,t-14,h-14,t-13,h-13,t-12,h-12,t-11,h-11,t-10,h-10,t-9,h-9,t-8,h-8,t-7,h-7,t-6,h-6,t-5,h-5,t-4,h-4,t-3,h-3,t-2,h-2,t-1,h-1,t+0,h+0,t+1,h+1,t+2,h+2,t+3,h+3,t+4,h+4,t+5,h+5,t+6,h+6,t+7,h+7
2012-02-02,1012493.8100000006,0.0,860053.7300000007,0.0,940194.9300000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,933835.5000000001,0.0,900077.6100000005,0.0,773739.73,0.0,927338.6600000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,968646.5200000008,1.0,921105.5600000008,0.0,850387.4900000005,0.0,1021175.9000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985418.4100000005,0.0,1013018.2900000006,0.0,764709.3100000005,0.0,1016554.7900000012,0.0,796.36,0.0,0.0,0.0,0.0,0.0,986696.53,0.0,1039951.0900000008,0.0,906994.6600000006,0.0,1218272.0000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1165230.550000001,0.0,1128346.5200000012,0.0,986933.910000001,0.0
2012-02-03,860053.7300000007,0.0,940194.9300000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,933835.5000000001,0.0,900077.6100000005,0.0,773739.73,0.0,927338.6600000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,968646.5200000008,1.0,921105.5600000008,0.0,850387.4900000005,0.0,1021175.9000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985418.4100000005,0.0,1013018.2900000006,0.0,764709.3100000005,0.0,1016554.7900000012,0.0,796.36,0.0,0.0,0.0,0.0,0.0,986696.53,0.0,1039951.0900000008,0.0,906994.6600000006,0.0,1218272.0000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1165230.550000001,0.0,1128346.5200000012,0.0,986933.910000001,0.0,1150050.090000001,0.0
2012-02-04,940194.9300000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,933835.5000000001,0.0,900077.6100000005,0.0,773739.73,0.0,927338.6600000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,968646.5200000008,1.0,921105.5600000008,0.0,850387.4900000005,0.0,1021175.9000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985418.4100000005,0.0,1013018.2900000006,0.0,764709.3100000005,0.0,1016554.7900000012,0.0,796.36,0.0,0.0,0.0,0.0,0.0,986696.53,0.0,1039951.0900000008,0.0,906994.6600000006,0.0,1218272.0000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1165230.550000001,0.0,1128346.5200000012,0.0,986933.910000001,0.0,1150050.090000001,0.0,0.0,0.0
2012-02-05,0.0,0.0,0.0,0.0,0.0,0.0,933835.5000000001,0.0,900077.6100000005,0.0,773739.73,0.0,927338.6600000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,968646.5200000008,1.0,921105.5600000008,0.0,850387.4900000005,0.0,1021175.9000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985418.4100000005,0.0,1013018.2900000006,0.0,764709.3100000005,0.0,1016554.7900000012,0.0,796.36,0.0,0.0,0.0,0.0,0.0,986696.53,0.0,1039951.0900000008,0.0,906994.6600000006,0.0,1218272.0000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1165230.550000001,0.0,1128346.5200000012,0.0,986933.910000001,0.0,1150050.090000001,0.0,0.0,0.0,0.0,0.0
2012-02-06,0.0,0.0,0.0,0.0,933835.5000000001,0.0,900077.6100000005,0.0,773739.73,0.0,927338.6600000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,968646.5200000008,1.0,921105.5600000008,0.0,850387.4900000005,0.0,1021175.9000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985418.4100000005,0.0,1013018.2900000006,0.0,764709.3100000005,0.0,1016554.7900000012,0.0,796.36,0.0,0.0,0.0,0.0,0.0,986696.53,0.0,1039951.0900000008,0.0,906994.6600000006,0.0,1218272.0000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1165230.550000001,0.0,1128346.5200000012,0.0,986933.910000001,0.0,1150050.090000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-07,0.0,0.0,933835.5000000001,0.0,900077.6100000005,0.0,773739.73,0.0,927338.6600000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,968646.5200000008,1.0,921105.5600000008,0.0,850387.4900000005,0.0,1021175.9000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985418.4100000005,0.0,1013018.2900000006,0.0,764709.3100000005,0.0,1016554.7900000012,0.0,796.36,0.0,0.0,0.0,0.0,0.0,986696.53,0.0,1039951.0900000008,0.0,906994.6600000006,0.0,1218272.0000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1165230.550000001,0.0,1128346.5200000012,0.0,986933.910000001,0.0,1150050.090000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1039052.1500000008,0.0
2012-02-08,933835.5000000001,0.0,900077.6100000005,0.0,773739.73,0.0,927338.6600000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,968646.5200000008,1.0,921105.5600000008,0.0,850387.4900000005,0.0,1021175.9000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985418.4100000005,0.0,1013018.2900000006,0.0,764709.3100000005,0.0,1016554.7900000012,0.0,796.36,0.0,0.0,0.0,0.0,0.0,986696.53,0.0,1039951.0900000008,0.0,906994.6600000006,0.0,1218272.0000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1165230.550000001,0.0,1128346.5200000012,0.0,986933.910000001,0.0,1150050.090000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1039052.1500000008,0.0,1016829.6800000007,0.0
2012-02-09,900077.6100000005,0.0,773739.73,0.0,927338.6600000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,968646.5200000008,1.0,921105.5600000008,0.0,850387.4900000005,0.0,1021175.9000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985418.4100000005,0.0,1013018.2900000006,0.0,764709.3100000005,0.0,1016554.7900000012,0.0,796.36,0.0,0.0,0.0,0.0,0.0,986696.53,0.0,1039951.0900000008,0.0,906994.6600000006,0.0,1218272.0000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1165230.550000001,0.0,1128346.5200000012,0.0,986933.910000001,0.0,1150050.090000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1039052.1500000008,0.0,1016829.6800000007,0.0,962829.3100000008,0.0
2012-02-10,773739.73,0.0,927338.6600000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,968646.5200000008,1.0,921105.5600000008,0.0,850387.4900000005,0.0,1021175.9000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985418.4100000005,0.0,1013018.2900000006,0.0,764709.3100000005,0.0,1016554.7900000012,0.0,796.36,0.0,0.0,0.0,0.0,0.0,986696.53,0.0,1039951.0900000008,0.0,906994.6600000006,0.0,1218272.0000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1165230.550000001,0.0,1128346.5200000012,0.0,986933.910000001,0.0,1150050.090000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1039052.1500000008,0.0,1016829.6800000007,0.0,962829.3100000008,0.0,1132707.000000001,0.0
2012-02-11,927338.6600000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,968646.5200000008,1.0,921105.5600000008,0.0,850387.4900000005,0.0,1021175.9000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985418.4100000005,0.0,1013018.2900000006,0.0,764709.3100000005,0.0,1016554.7900000012,0.0,796.36,0.0,0.0,0.0,0.0,0.0,986696.53,0.0,1039951.0900000008,0.0,906994.6600000006,0.0,1218272.0000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1165230.550000001,0.0,1128346.5200000012,0.0,986933.910000001,0.0,1150050.090000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1039052.1500000008,0.0,1016829.6800000007,0.0,962829.3100000008,0.0,1132707.000000001,0.0,0.0,0.0
