1,George Washington,1789,1797,Independent,Virginia,1732-02-22
2,John Adams,1797,1801,Federalist,Massachusetts,1735-10-30
3,Thomas Jefferson,1801,1809,Democratic-Republican,Virginia,1743-04-13
4,James Madison,1809,1817,Democratic-Republican,Virginia,1751-03-16
5,James Monroe,1817,1825,Democratic-Republican,Virginia,1758-04-28
6,John Quincy Adams,1825,1829,Democratic-Republican/National Republican,Massachusetts,1767-03-15
7,Andrew Jackson,1829,1837,Democratic,Tennessee,1767-07-11
8,Martin Van Buren,1837,1841,Democratic,New York,1773-02-09
9,William Henry Harrison,1841,1841,Whig,Ohio,1782-12-05
10,John Tyler,1841,1845,Whig,Virginia,1784-11-24
11,James K. Polk,1845,1849,Democratic,Tennessee,1790-03-29
12,Zachary Taylor,1849,1850,Whig,Louisiana,1791-04-23
13,Millard Fillmore,1850,1853,Whig,New York,1795-11-02
14,Franklin Pierce,1853,1857,Democratic,New Hampshire,1800-01-07
15,James Buchanan,1857,1861,Democratic,Pennsylvania,1804-11-23
16,Abraham Lincoln,1861,1865,Republican/National Union,Illinois,1808-12-29
17,Andrew Johnson,1865,1869,Democratic/National Union,Tennessee,1809-02-12
18,Ulysses S. Grant,1869,1877,Republican,Ohio,1822-04-27
19,Rutherford B. Hayes,1877,1881,Republican,Ohio,1822-10-04
20,James A. Garfield,1881,1881,Republican,Ohio,1829-10-05
21,Chester A. Arthur,1881,1885,Republican,New York,1831-11-19
22,Grover Cleveland,1885,1889,Democratic,New York,1833-08-20
23,Benjamin Harrison,1889,1893,Republican,Indiana,1837-03-18
24,Grover Cleveland (2nd term),1893,1897,Democratic,New York,1843-01-29
25,William McKinley,1897,1901,Republican,Ohio,1856-12-28
26,Theodore Roosevelt,1901,1909,Republican,New York,1857-09-15
27,William Howard Taft,1909,1913,Republican,Ohio,1858-10-27
28,Woodrow Wilson,1913,1921,Democratic,New Jersey,1865-11-02
29,Warren G. Harding,1921,1923,Republican,Ohio,1872-07-04
30,Calvin Coolidge,1923,1929,Republican,Massachusetts,1874-08-10
31,Herbert Hoover,1929,1933,Republican,Iowa,1882-01-30
32,Franklin D. Roosevelt,1933,1945,Democratic,New York,1884-05-08
33,Harry S. Truman,1945,1953,Democratic,Missouri,1890-10-14
34,Dwight D. Eisenhower,1953,1961,Republican,Texas,1908-08-27
35,John F. Kennedy,1961,1963,Democratic,Massachusetts,1911-02-06
36,Lyndon B. Johnson,1963,1969,Democratic,Texas,1913-01-09
37,Richard Nixon,1969,1974,Republican,California,1913-07-14
38,Gerald Ford,1974,1977,Republican,Michigan,1917-05-29
39,Jimmy Carter,1977,1981,Democratic,Georgia,1924-06-12
40,Ronald Reagan,1981,1989,Republican,California,1924-10-01
41,George H. W. Bush,1989,1993,Republican,Texas,1946-06-14
42,Bill Clinton,1993,2001,Democratic,Arkansas,1946-07-06
43,George W. Bush,2001,2009,Republican,Texas,1946-08-19
44,Barack Obama,2009,2017,Democratic,Illinois,1961-08-04
