Graduated,Profession,Work_Experience,Family_Size,Spending_Score
No,Healthcare,1.0,4.0,Low
Yes,Engineer,,3.0,Average
Yes,Engineer,1.0,1.0,Low
Yes,Lawyer,0.0,2.0,High
Yes,Entertainment,,6.0,High
No,Artist,0.0,2.0,Average
Yes,Healthcare,1.0,3.0,Low
Yes,Healthcare,1.0,3.0,Low
Yes,Engineer,0.0,3.0,Low
Yes,Artist,1.0,4.0,Average
Yes,Engineer,1.0,3.0,Low
No,Healthcare,4.0,4.0,Low
No,Executive,0.0,,Low
No,Lawyer,,1.0,Low
No,Doctor,0.0,1.0,Low
No,Healthcare,1.0,2.0,Low
No,Homemaker,9.0,5.0,Low
No,Healthcare,1.0,6.0,Low
Yes,Entertainment,1.0,4.0,Average
Yes,Artist,0.0,1.0,High
Yes,Homemaker,12.0,1.0,Low
No,Healthcare,3.0,4.0,Low
Yes,Artist,13.0,2.0,Low
Yes,Artist,5.0,2.0,Low
No,Executive,1.0,3.0,Average
No,Artist,1.0,3.0,Average
No,Healthcare,9.0,8.0,Low
Yes,Artist,1.0,3.0,Average
Yes,Artist,0.0,1.0,Low
No,Artist,5.0,4.0,Low
Yes,Artist,0.0,3.0,Low
No,Doctor,1.0,2.0,Low
No,Healthcare,1.0,3.0,Low
No,Homemaker,9.0,,Low
No,Lawyer,1.0,2.0,High
Yes,Healthcare,3.0,4.0,Low
No,Doctor,5.0,1.0,Low
No,Healthcare,1.0,5.0,Average
Yes,Artist,8.0,2.0,Low
Yes,Artist,,2.0,Average
Yes,Artist,4.0,1.0,Low
No,Healthcare,0.0,2.0,Low
Yes,Artist,14.0,3.0,Low
Yes,Artist,1.0,2.0,Low
No,Engineer,8.0,1.0,Low
No,Lawyer,,2.0,High
Yes,Artist,0.0,4.0,Average
Yes,Healthcare,,1.0,Low
No,Healthcare,0.0,4.0,Low
Yes,Engineer,1.0,1.0,Low
No,Artist,1.0,2.0,Average
Yes,Artist,1.0,2.0,Average
Yes,Artist,1.0,1.0,Low
Yes,Entertainment,0.0,2.0,Average
No,Marketing,1.0,1.0,Low
Yes,Artist,14.0,2.0,Average
Yes,Healthcare,9.0,4.0,Low
,Doctor,8.0,2.0,Low
Yes,Artist,1.0,3.0,Average
Yes,Lawyer,1.0,,Low
Yes,Artist,0.0,2.0,Average
Yes,Artist,9.0,2.0,Average
Yes,Lawyer,0.0,3.0,High
Yes,Lawyer,1.0,2.0,High
Yes,Lawyer,7.0,2.0,High
Yes,Entertainment,0.0,2.0,Low
Yes,Doctor,0.0,2.0,Average
No,Artist,8.0,4.0,Low
Yes,Artist,0.0,4.0,Average
Yes,Homemaker,,2.0,High
Yes,Healthcare,8.0,2.0,Low
Yes,Entertainment,8.0,2.0,Average
No,Artist,0.0,5.0,Average
No,Healthcare,8.0,4.0,Low
Yes,Artist,0.0,4.0,Average
No,Homemaker,0.0,3.0,Low
Yes,Doctor,0.0,2.0,Low
No,Artist,4.0,3.0,Low
Yes,Engineer,2.0,2.0,Average
Yes,,1.0,1.0,Low
No,Healthcare,0.0,4.0,Low
No,Healthcare,6.0,3.0,Low
Yes,Artist,8.0,1.0,Low
No,Entertainment,8.0,4.0,Average
No,Marketing,1.0,3.0,Low
No,Healthcare,7.0,5.0,Low
Yes,Artist,0.0,3.0,Average
Yes,Artist,5.0,2.0,Low
No,Entertainment,7.0,3.0,Low
No,Doctor,0.0,2.0,Average
Yes,Entertainment,0.0,3.0,Low
Yes,Artist,1.0,4.0,Average
Yes,Artist,1.0,2.0,High
No,Entertainment,1.0,2.0,Low
No,Artist,0.0,1.0,Low
Yes,Artist,,1.0,Average
Yes,Artist,0.0,1.0,Low
Yes,Artist,0.0,2.0,High
Yes,Doctor,1.0,2.0,Average
No,Engineer,3.0,3.0,Average
Yes,Artist,0.0,4.0,Average
No,Executive,1.0,7.0,High
No,Artist,0.0,3.0,Low
No,Executive,0.0,5.0,High
Yes,Healthcare,10.0,2.0,Low
No,Doctor,1.0,2.0,Low
Yes,Homemaker,3.0,2.0,Low
No,Lawyer,1.0,1.0,Low
No,Healthcare,6.0,5.0,Low
No,Healthcare,9.0,3.0,Low
Yes,Entertainment,,4.0,Low
Yes,Artist,0.0,1.0,Low
Yes,Doctor,1.0,,Low
Yes,Artist,1.0,1.0,Low
Yes,Executive,0.0,3.0,High
No,Executive,8.0,4.0,Average
No,Lawyer,1.0,1.0,Low
Yes,Artist,0.0,2.0,Low
No,,2.0,7.0,Low
Yes,Artist,1.0,2.0,High
Yes,Executive,0.0,3.0,High
No,Executive,1.0,4.0,High
No,Engineer,9.0,4.0,Average
Yes,Healthcare,1.0,3.0,Low
No,Entertainment,9.0,2.0,Low
No,Marketing,1.0,2.0,Low
