trip_id,duration_sec,start_date,start_station_name,start_station_id,end_date,end_station_name,end_station_id,bike_number,zip_code
969490,255,2015-10-13 19:02:00 UTC,Mezes,83,2015-10-13 19:07:00 UTC,Mezes,83,650,94063
1030383,5780,2015-12-06 10:52:00 UTC,Mezes,83,2015-12-06 12:28:00 UTC,Mezes,83,44,94064
957659,587,2015-10-05 16:41:00 UTC,Sequoia Hospital,21,2015-10-05 16:51:00 UTC,Mezes,83,650,94063
984412,487,2015-10-25 12:45:00 UTC,Redwood City Public Library,24,2015-10-25 12:53:00 UTC,Mezes,83,686,94063
1114916,1642,2016-03-03 21:54:00 UTC,Redwood City Public Library,24,2016-03-03 22:22:00 UTC,Mezes,83,208,94063
934706,243,2015-09-17 09:22:00 UTC,Redwood City Caltrain Station,22,2015-09-17 09:26:00 UTC,Mezes,83,215,94707
939668,241,2015-09-21 17:33:00 UTC,Redwood City Caltrain Station,22,2015-09-21 17:37:00 UTC,Mezes,83,246,94063
1129807,293,2016-03-18 17:07:00 UTC,Redwood City Caltrain Station,22,2016-03-18 17:12:00 UTC,Mezes,83,44,94063
1083533,315,2016-02-05 17:07:00 UTC,Redwood City Caltrain Station,22,2016-02-05 17:13:00 UTC,Mezes,83,174,94063
974374,221,2015-10-16 17:43:00 UTC,Redwood City Caltrain Station,22,2015-10-16 17:46:00 UTC,Mezes,83,650,94063
958062,242,2015-10-05 18:09:00 UTC,Redwood City Caltrain Station,22,2015-10-05 18:13:00 UTC,Mezes,83,102,94063
1079608,293,2016-02-02 18:07:00 UTC,Redwood City Caltrain Station,22,2016-02-02 18:12:00 UTC,Mezes,83,690,94063
994547,240,2015-11-02 18:08:00 UTC,Redwood City Caltrain Station,22,2015-11-02 18:12:00 UTC,Mezes,83,52,94063
1099118,294,2016-02-19 17:07:00 UTC,Redwood City Caltrain Station,22,2016-02-19 17:12:00 UTC,Mezes,83,196,94063
1068467,289,2016-01-22 17:07:00 UTC,Redwood City Caltrain Station,22,2016-01-22 17:12:00 UTC,Mezes,83,233,94063
963205,290,2015-10-08 17:31:00 UTC,Redwood City Caltrain Station,22,2015-10-08 17:35:00 UTC,Mezes,83,655,94063
944688,309,2015-09-24 17:10:00 UTC,Redwood City Caltrain Station,22,2015-09-24 17:15:00 UTC,Mezes,83,88,94063
1022219,289,2015-11-25 17:07:00 UTC,Redwood City Caltrain Station,22,2015-11-25 17:12:00 UTC,Mezes,83,704,94063
978367,271,2015-10-20 17:31:00 UTC,Redwood City Caltrain Station,22,2015-10-20 17:36:00 UTC,Mezes,83,650,94063
1062796,294,2016-01-15 17:36:00 UTC,Redwood City Caltrain Station,22,2016-01-15 17:41:00 UTC,Mezes,83,246,94063
1078381,266,2016-02-01 18:09:00 UTC,Redwood City Caltrain Station,22,2016-02-01 18:13:00 UTC,Mezes,83,577,94063
996188,304,2015-11-03 18:09:00 UTC,Redwood City Caltrain Station,22,2015-11-03 18:14:00 UTC,Mezes,83,52,94063
967436,329,2015-10-12 17:32:00 UTC,Redwood City Caltrain Station,22,2015-10-12 17:38:00 UTC,Mezes,83,655,94063
1127004,283,2016-03-16 17:36:00 UTC,Redwood City Caltrain Station,22,2016-03-16 17:40:00 UTC,Mezes,83,246,94063
935346,315,2015-09-17 17:08:00 UTC,Redwood City Caltrain Station,22,2015-09-17 17:13:00 UTC,Mezes,83,256,94063
1169080,302,2016-04-19 18:28:00 UTC,Redwood City Caltrain Station,22,2016-04-19 18:33:00 UTC,Mezes,83,196,94063
1120296,275,2016-03-09 17:34:00 UTC,Redwood City Caltrain Station,22,2016-03-09 17:39:00 UTC,Mezes,83,246,94063
1007669,255,2015-11-12 18:11:00 UTC,Redwood City Caltrain Station,22,2015-11-12 18:15:00 UTC,Mezes,83,182,94063
1036836,343,2015-12-11 17:07:00 UTC,Redwood City Caltrain Station,22,2015-12-11 17:13:00 UTC,Mezes,83,84,94063
39286,4123,2013-09-29 15:07:00 UTC,Japantown,9,2013-09-29 16:15:00 UTC,Japantown,9,640,94042
270584,1375,2014-05-03 14:58:00 UTC,Japantown,9,2014-05-03 15:21:00 UTC,Japantown,9,694,nil
6266,168,2013-08-30 17:53:00 UTC,Japantown,9,2013-08-30 17:56:00 UTC,Japantown,9,638,95125
644304,1333,2015-02-14 12:17:00 UTC,Japantown,9,2015-02-14 12:39:00 UTC,Japantown,9,680,95113
252213,6320,2014-04-17 15:09:00 UTC,Japantown,9,2014-04-17 16:54:00 UTC,Japantown,9,659,94587
473196,489435,2014-09-28 18:21:00 UTC,Japantown,9,2014-10-04 10:19:00 UTC,Japantown,9,685,95116
132933,933,2013-12-21 11:01:00 UTC,Japantown,9,2013-12-21 11:17:00 UTC,Japantown,9,45,95122
422257,8858,2014-08-24 20:22:00 UTC,Japantown,9,2014-08-24 22:49:00 UTC,Japantown,9,15,95112
245718,604,2014-04-11 23:05:00 UTC,Japantown,9,2014-04-11 23:15:00 UTC,Japantown,9,82,95112
543393,415,2014-11-13 16:15:00 UTC,Japantown,9,2014-11-13 16:22:00 UTC,Japantown,9,653,95122
114203,442,2013-12-03 18:22:00 UTC,Japantown,9,2013-12-03 18:29:00 UTC,Japantown,9,208,95112
287040,2957,2014-05-16 12:21:00 UTC,Japantown,9,2014-05-16 13:10:00 UTC,Japantown,9,710,95111
815510,10159,2015-06-20 19:02:00 UTC,Japantown,9,2015-06-20 21:51:00 UTC,Japantown,9,42,44139
515200,708,2014-10-25 14:06:00 UTC,Japantown,9,2014-10-25 14:18:00 UTC,Japantown,9,221,95122
645660,9594,2015-02-16 12:45:00 UTC,Japantown,9,2015-02-16 15:25:00 UTC,Japantown,9,716,95112
532756,2333,2014-11-06 12:27:00 UTC,Japantown,9,2014-11-06 13:06:00 UTC,Japantown,9,230,95122
999843,128,2015-11-06 07:22:00 UTC,Japantown,9,2015-11-06 07:24:00 UTC,Japantown,9,669,95112
1099748,4128,2016-02-20 17:19:00 UTC,Japantown,9,2016-02-20 18:28:00 UTC,Japantown,9,57,95112
1146037,3490,2016-04-01 15:37:00 UTC,Japantown,9,2016-04-01 16:35:00 UTC,Japantown,9,88,95112
1245969,894,2016-06-19 20:43:00 UTC,Japantown,9,2016-06-19 20:58:00 UTC,Japantown,9,661,95112
1323871,3927,2016-08-19 23:07:00 UTC,Japantown,9,2016-08-20 00:12:00 UTC,Japantown,9,199,95112
125740,14765,2013-12-14 17:14:00 UTC,Japantown,9,2013-12-14 21:20:00 UTC,Japantown,9,708,95112
307863,58941,2014-06-02 19:27:00 UTC,Japantown,9,2014-06-03 11:49:00 UTC,Japantown,9,299,95112
126087,661,2013-12-15 11:54:00 UTC,Japantown,9,2013-12-15 12:05:00 UTC,Japantown,9,262,95122
287847,3303,2014-05-16 23:50:00 UTC,Japantown,9,2014-05-17 00:45:00 UTC,Japantown,9,72,95112
920834,3998,2015-09-06 10:55:00 UTC,Japantown,9,2015-09-06 12:01:00 UTC,Japantown,9,643,95122
965329,2318,2015-10-10 11:46:00 UTC,Japantown,9,2015-10-10 12:25:00 UTC,Japantown,9,50,95110
81496,932,2013-11-02 23:05:00 UTC,Japantown,9,2013-11-02 23:21:00 UTC,Japantown,9,153,95112
106152,4168,2013-11-24 09:55:00 UTC,Japantown,9,2013-11-24 11:05:00 UTC,Japantown,9,21,95131
1023243,783,2015-11-29 16:00:00 UTC,Japantown,9,2015-11-29 16:13:00 UTC,Japantown,9,676,95112
9436,92,2013-09-03 08:30:00 UTC,Japantown,9,2013-09-03 08:32:00 UTC,Japantown,9,101,95112
138232,219,2013-12-30 11:15:00 UTC,Japantown,9,2013-12-30 11:19:00 UTC,Japantown,9,672,95122
270641,3879,2014-05-03 15:55:00 UTC,Japantown,9,2014-05-03 17:00:00 UTC,Japantown,9,30,95124
956133,1512,2015-10-03 15:48:00 UTC,Japantown,9,2015-10-03 16:13:00 UTC,Japantown,9,660,95123
1088499,843,2016-02-10 10:35:00 UTC,Japantown,9,2016-02-10 10:49:00 UTC,Japantown,9,37,95110
10885,5503,2013-09-04 16:07:00 UTC,Japantown,9,2013-09-04 17:38:00 UTC,Japantown,9,44,95112
